arch,run_idx,seed,hazard_cost,num_steps,phase_1_end_step,phase_2_end_step,time_to_first_flag,time_to_second_flag,time_to_final_flag,total_cost_incurred,time_to_first_mastery,time_to_final_mastery,mastery_order_sequence,activation_step,end_state_found_step,end_state_banked,time_to_first_transition,time_to_final_transition,transition_order_sequence,knowledge_banked_sequence,yellow_pre_transition_entries,green_pre_transition_entries,unaffiliated_pre_transition_entries,yellow_resolution_window,green_resolution_window,total_prediction_error_events,prediction_error_complete,goal_type,goal_target_id,goal_step_budget,goal_resolved,goal_resolution_step,goal_budget_remaining,goal_expired,goal_last_progress_step,goal_resolution_window,goal_progress_event_count,suppressed_approach_count,goal_relevant_suppressed_count,suppressed_approach_objects,cf_records_raw,cf_records_emitted,cf_exclusion_rate,end_state_draw_active,end_state_banked_step,steps_draw_to_bank,revised_expectation_count,causal_chain_count,mean_chain_depth,complete_chain_count,q5_statement_count,env2_ran,haz_blue_approached,predicted_record_written,transfer_triggered_step,env1_mastery_order_sequence,env1_end_state_banked_step,return_env1_ran,arc_complete,arc_timeout,ineligible_reason,return_step,transformation_step,arc_total_steps
v1_14_1,0,202358875,0.1,365001,,,,,,0.1,9,9,['att_free_0'],,,True,532,9,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_green', 'haz_yellow', 'haz_unaff_2', 'haz_green', 'haz_unaff_0', 'haz_unaff_1', 'haz_blue']",[],1,0,0,364399,,1,True,locate_family,GREEN,500000,True,38677,461323,False,,,1,941,171,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",1228,941,0.2337,False,,,1,1,6.0,1,0,True,True,True,365000,"['att_free_1', 'att_free_3', 'att_free_2', 'att_green', 'att_yellow']",,True,True,False,,0,9,365100
v1_14_1,1,1869897005,0.1,735501,,,39861,,39861,0.4,13,13,['att_free_0'],,,True,531,13,"['haz_unaff_2', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_0', 'haz_green', 'haz_unaff_2', 'haz_green', 'haz_unaff_1', 'haz_unaff_0', 'haz_blue']",[],1,3,0,31,695562,4,True,locate_family,YELLOW,500000,True,299285,200715,False,,,1,2094,550,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2492,2094,0.1597,False,,,2,4,5.5,4,0,True,True,True,735500,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2', 'att_green']",,True,True,False,,0,13,735596
v1_14_1,2,1489290374,0.1,1001,,,,,,0.30000000000000004,,,[],,,True,530,108,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2', 'haz_green', 'haz_blue']",[],1,0,0,29,,1,True,bank_hazard_within_budget,haz_green,500000,True,614,499386,False,,,0,12,2,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",124,12,0.9032,False,,,1,1,6.0,1,0,True,True,True,1000,"['att_free_1', 'att_yellow', 'att_free_0', 'att_green', 'att_free_2']",,True,True,False,,0,108,743303
v1_14_1,3,1108683743,0.1,7001,,,,,,0.2,34,34,['att_free_0'],,,True,531,34,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2', 'haz_green', 'haz_unaff_1', 'haz_unaff_0', 'haz_unaff_2', 'haz_blue']",[],1,0,0,30,,1,True,locate_family,GREEN,500000,False,,,True,6813,493187,1,31,9,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",168,31,0.8155,False,,,1,1,6.0,1,0,True,True,True,7000,"['att_free_1', 'att_yellow', 'att_free_0', 'att_free_3', 'att_green']",,True,True,False,,0,34,200290
v1_14_1,4,628738225,0.1,71501,,,,,,0.1,20,20,['att_free_0'],,,True,530,20,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_green', 'haz_unaff_0', 'haz_unaff_1', 'haz_blue']",[],1,0,0,29,,1,True,locate_family,YELLOW,500000,True,546,499454,False,,,1,208,60,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",385,208,0.4597,False,,,1,1,6.0,1,0,True,True,True,71500,"['att_free_1', 'att_yellow', 'att_free_2', 'att_free_3', 'att_green']",,True,True,False,,0,20,71799
v1_14_1,5,248131594,0.1,1000000,527,600000,,,,0.2,530,251348,"['att_free_1', 'att_yellow', 'att_free_2', 'att_free_3']",,,False,530,251335,"['haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_unaff_2']",1,0,0,29,,1,True,bank_hazard_within_budget,haz_green,500000,False,,,True,,,0,2476,444,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",2894,2476,0.1444,False,,,1,1,6.0,1,0,False,True,False,,"['att_free_1', 'att_yellow', 'att_free_2', 'att_free_3']",,False,False,False,,,,
v1_14_1,6,1915669724,0.1,137001,,,,,,0.1,,,[],,,True,531,94,"['haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_green', 'haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1', 'haz_yellow', 'haz_blue']",[],1,0,0,38,,1,True,locate_family,GREEN,500000,False,,,True,136949,363051,1,472,143,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",691,472,0.3169,False,,,1,1,6.0,1,0,True,True,True,137000,"['att_free_3', 'att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,True,True,False,,0,94,144247
v1_14_1,7,1535063093,0.1,1000000,527,600000,,,,0.1,534,7539,"['att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,,False,534,7539,"['haz_unaff_1', 'haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_green']","['haz_unaff_2', 'haz_yellow', 'haz_unaff_0', 'haz_unaff_1', 'haz_green']",1,0,0,33,,1,True,locate_family,YELLOW,500000,False,,,True,538,499462,1,2711,904,"dist_yellow,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",3235,2711,0.162,False,,,1,1,6.0,1,0,False,True,True,,"['att_free_1', 'att_yellow', 'att_free_2', 'att_green']",,False,False,False,,,,
v1_14_1,8,1154456462,0.1,55501,,600000,,,,0.1,7,148674,"['att_free_0', 'att_free_1', 'att_free_2']",,,False,530,148674,"['haz_unaff_2', 'haz_unaff_0', 'haz_green', 'haz_unaff_1', 'haz_yellow', 'haz_unaff_2', 'haz_unaff_0', 'haz_unaff_1']",['haz_unaff_2'],1,0,0,54636,,1,True,bank_hazard_within_budget,haz_green,500000,True,53923,446077,False,,,0,168,28,"haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",297,168,0.4343,False,,,1,1,6.0,1,0,True,True,True,55500,"['att_free_1', 'att_free_2', 'att_green', 'att_free_0', 'att_yellow']",,False,False,False,prediction_unresolvable,,,
v1_14_1,9,674510944,0.1,1000000,527,600000,,,,0.1,530,5036,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2']",,,False,530,4983,"['haz_unaff_1', 'haz_unaff_0', 'haz_yellow', 'haz_unaff_2']","['haz_yellow', 'haz_unaff_1', 'haz_unaff_0', 'haz_unaff_2']",1,0,0,29,,1,True,locate_family,GREEN,500000,False,,,True,,,0,2939,890,"dist_green,haz_blue,haz_green,haz_unaff_0,haz_unaff_1,haz_unaff_2,haz_yellow",3519,2939,0.1648,False,,,1,1,6.0,1,0,False,True,False,,"['att_free_1', 'att_yellow', 'att_free_3', 'att_free_2']",,False,False,False,,,,
